Time,MetricValue
2024-08-01 15:23:17+00:00,0.0
2024-08-01 15:23:37+00:00,0.0
2024-08-01 15:23:57+00:00,0.0
2024-08-01 15:24:17+00:00,0.0
2024-08-01 15:24:37+00:00,23.0
2024-08-01 15:24:57+00:00,53.0
2024-08-01 15:25:17+00:00,44.0
2024-08-01 15:25:37+00:00,21.0
2024-08-01 15:25:57+00:00,78.0
2024-08-01 15:26:17+00:00,95.0
2024-08-01 15:26:37+00:00,26.0
2024-08-01 15:26:57+00:00,7.0
2024-08-01 15:27:17+00:00,0.0
2024-08-01 15:27:37+00:00,0.0
2024-08-01 15:27:57+00:00,0.0
